DÍA		COMPRA 	DOLAR	VENTA 	DOLAR
02/07/2010	3.89	3.93	4.88	4.93
01/07/2010	3.89	3.93	4.85	4.9
30/06/2010	3.89	3.93	4.76	4.81
29/06/2010	3.89	3.93	4.74	4.79
28/06/2010	3.89	3.93	4.77	4.82
25/06/2010	3.89	3.23	4.82	4.87
24/06/2010	3.89	3.93	4.8	4.85
23/06/2010	3.88	3.92	4.76	4.81
22/06/2010	3.88	3.92	4.78	4.83
18/06/2010	3.88	3.92	4.8	4.85
17/06/2010	3.88	3.92	4.8	4.85
16/06/2010	3.88	3.92	4.78	4.83
15/06/2010	3.88	3.92	4.79	4.84
14/06/2010	3.88	3.92	4.75	4.8
11/06/2010	3.88	3.92	4.68	4.73
10/06/2010	3.87	3.91	4.69	4.74
09/06/2010	3.87	3.91	4.65	4.7
08/06/2010	3.87	3.91	4.62	4.67
07/06/2010	3.88	3.92	4.63	4.67
04/06/2010	3.88	3.92	4.66	4.71
03/06/2010	3.88	3.92	4.72	4.77
02/06/2010	3.88	3.92	4.74	4.79
01/06/2010	3.89	3.93	4.78	4.83
31/05/2010	3.88	3.92	4.78	4.83
28/05/2010	3.88	3.92	4.77	4.82
27/05/2010	3.87	3.91	4.79	4.84
26/05/2010	3.87	3.91	4.73	4.78
21/05/2010	3.86	3.9	4.86	4.91
20/05/2010	3.86	3.9	4.82	4.87
19/05/2010	3.86	3.9	4.77	4.82
18/05/2010	3.86	3.9	4.74	4.79
17/05/2010	3.86	3.9	4.76	4.81
14/05/2010	3.85	3.89	4.77	4.82
13/05/2010	3.85	3.89	4.85	4.9
12/05/2010	3.85	3.89	4.87	4.92
11/05/2010	3.85	3.89	4.9	4.95
10/05/2010	3.85	3.89	4.93	4.99
07/05/2010	3.85	3.89	4.9	4.96
06/05/2010	3.85	3.89	4.89	4.94
05/05/2010	3.85	3.89	4.95	5
04/05/2010	3.85	3.89	5.01	5.06
03/05/2010	3.84	3.88	5.07	5.12
30/04/2010	3.84	3.88	5.08	5.14
29/04/2010	3.84	3.88	5.08	5.14
28/04/2010	3.84	3.88	5.05	5.1
27/04/2010	3.83	3.87	5.08	5.13
26/04/2010	3.83	3.87	5.1	5.16
23/04/2010	3.83	3.87	5.12	5.17
22/04/2010	3.83	3.87	5.09	5.15
21/04/2010	3.83	3.87	5.13	5.18
20/04/2010	3.81	3.87	5.14	5.2
19/04/2010	3.83	3.87	5.15	5.21
16/04/2010	3.82	3.86	5.16	5.21
15/04/2010	3.83	3.87	5.19	5.25
14/04/2010	3.83	3.87	5.23	5.29
13/04/2010	3.83	3.87	5.21	5.27
12/04/2010	3.83	3.87	5.21	5.26
09/04/2010	3.83	3.87	5.16	5.22
08/04/2010	3.83	3.87	5.11	5.17
07/04/2010	3.83	3.87	5.12	5.17
06/04/2010	3.84	3.88	5.13	5.18
05/04/2010	3.83	3.87	5.17	5.22
31/03/2010	3.83	3.87	5.19	5.24
30/03/2010	3.83	3.87	5.77	5.84
29/03/2010	3.83	3.87	5.15	5.21
26/03/2010	3.82	3.86	5.12	5.17
