"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"2/05/2011","Casas de cambio","4.110",""
"2/05/2011","Informal","4.265",""
"3/05/2011","Casas de cambio","4.110",""
"3/05/2011","Informal","4.285",""
"4/05/2011","Casas de cambio","4.110",""
"4/05/2011","Informal","4.273",""
"5/05/2011","Casas de cambio","4.110",""
"5/05/2011","Informal","4.270",""
"6/05/2011","Casas de cambio","4.110",""
"6/05/2011","Informal","4.268",""
"9/05/2011","Casas de cambio","4.110",""
"9/05/2011","Informal","4.268",""
"10/05/2011","Casas de cambio","4.110",""
"10/05/2011","Informal","4.275",""
"11/05/2011","Casas de cambio","4.110",""
"11/05/2011","Informal","4.283",""
"12/05/2011","Casas de cambio","4.110",""
"12/05/2011","Informal","4.285",""
"13/05/2011","Casas de cambio","4.110",""
"13/05/2011","Informal","4.288",""
"16/05/2011","Casas de cambio","4.115",""
"16/05/2011","Informal","4.293",""
"17/05/2011","Casas de cambio","4.115",""
"17/05/2011","Informal","4.315",""
"18/05/2011","Casas de cambio","4.120",""
"18/05/2011","Informal","4.320",""
"19/05/2011","Casas de cambio","4.120",""
"19/05/2011","Informal","4.333",""
"20/05/2011","Casas de cambio","4.120",""
"20/05/2011","Informal","4.333",""
"23/05/2011","Casas de cambio","4.120",""
"23/05/2011","Informal","4.340",""
"24/05/2011","Casas de cambio","4.120",""
"24/05/2011","Informal","4.350",""
"26/05/2011","Casas de cambio","4.120",""
"26/05/2011","Informal","4.343",""
"27/05/2011","Casas de cambio","4.120",""
"27/05/2011","Informal","4.343",""
"30/05/2011","Casas de cambio","4.120",""
"30/05/2011","Informal","4.325",""
"31/05/2011","Casas de cambio","4.120",""
"31/05/2011","Informal","4.298",""
"1/06/2011","Casas de cambio","4.120",""
"1/06/2011","Informal","4.305",""
"2/06/2011","Casas de cambio","4.120",""
"2/06/2011","Informal","4.295",""
"3/06/2011","Casas de cambio","4.125",""
"3/06/2011","Informal","4.283",""
"6/06/2011","Casas de cambio","4.125",""
"6/06/2011","Informal","4.268",""
"7/06/2011","Casas de cambio","4.125",""
"7/06/2011","Informal","4.263",""
"8/06/2011","Casas de cambio","4.125",""
"8/06/2011","Informal","4.275",""
"9/06/2011","Casas de cambio","4.125",""
"9/06/2011","Informal","4.263",""
"10/06/2011","Casas de cambio","4.125",""
"10/06/2011","Informal","4.260",""
"13/06/2011","Casas de cambio","4.130",""
"13/06/2011","Informal","4.263",""
"14/06/2011","Casas de cambio","4.130",""
"14/06/2011","Informal","4.288",""
"15/06/2011","Casas de cambio","4.130",""
"15/06/2011","Informal","4.308",""
"16/06/2011","Casas de cambio","4.130",""
"16/06/2011","Informal","4.310",""
"17/06/2011","Casas de cambio","4.130",""
"17/06/2011","Informal","4.300",""
"21/06/2011","Casas de cambio","4.130",""
"21/06/2011","Informal","4.293",""
"22/06/2011","Casas de cambio","4.130",""
"22/06/2011","Informal","4.298",""
"23/06/2011","Casas de cambio","4.130",""
"23/06/2011","Informal","4.300",""
"24/06/2011","Casas de cambio","4.130",""
"24/06/2011","Informal","4.300",""
"27/06/2011","Casas de cambio","4.130",""
"27/06/2011","Informal","4.290",""
"28/06/2011","Casas de cambio","4.130",""
"28/06/2011","Informal","4.290",""
"29/06/2011","Casas de cambio","4.140",""
"29/06/2011","Informal","4.290",""
"30/06/2011","Casas de cambio","4.140",""
"30/06/2011","Informal","4.273",""
"1/07/2011","Casas de cambio","4.140",""
"1/07/2011","Informal","4.275",""
"4/07/2011","Casas de cambio","4.140",""
"4/07/2011","Informal","4.268",""
"5/07/2011","Casas de cambio","4.140",""
"5/07/2011","Informal","4.260",""
"6/07/2011","Casas de cambio","4.145",""
"6/07/2011","Informal","4.270",""
"7/07/2011","Casas de cambio","4.150",""
"7/07/2011","Informal","4.263",""
"8/07/2011","Casas de cambio","4.150",""
"8/07/2011","Informal","4.263",""
"11/07/2011","Casas de cambio","4.150",""
"11/07/2011","Informal","4.260",""
"12/07/2011","Casas de cambio","4.155",""
"12/07/2011","Informal","4.270",""
"13/07/2011","Casas de cambio","4.155",""
"13/07/2011","Informal","4.280",""
"14/07/2011","Casas de cambio","4.155",""
"14/07/2011","Informal","4.285",""
"15/07/2011","Casas de cambio","4.155",""
"15/07/2011","Informal","4.293",""
"18/07/2011","Casas de cambio","4.155",""
"18/07/2011","Informal","4.290",""
"19/07/2011","Casas de cambio","4.155",""
"19/07/2011","Informal","4.313",""
"20/07/2011","Casas de cambio","4.160",""
"20/07/2011","Informal","4.315",""
"21/07/2011","Casas de cambio","4.165",""
"21/07/2011","Informal","4.318",""
"22/07/2011","Casas de cambio","4.165",""
"22/07/2011","Informal","4.320",""
"25/07/2011","Casas de cambio","4.165",""
"25/07/2011","Informal","4.325",""
"26/07/2011","Casas de cambio","4.165",""
"26/07/2011","Informal","4.343",""
"27/07/2011","Casas de cambio","4.165",""
"27/07/2011","Informal","4.348",""
"28/07/2011","Casas de cambio","4.170",""
"28/07/2011","Informal","4.340",""
"29/07/2011","Casas de cambio","4.170",""
"29/07/2011","Informal","4.340",""
"1/08/2011","Casas de cambio","4.170",""
"1/08/2011","Informal","4.323",""
"2/08/2011","Casas de cambio","4.170",""
"2/08/2011","Informal","4.325",""
"3/08/2011","Casas de cambio","4.175",""
"3/08/2011","Informal","4.328",""
"4/08/2011","Casas de cambio","4.180",""
"4/08/2011","Informal","4.320",""
"5/08/2011","Casas de cambio","4.180",""
"5/08/2011","Informal","4.320",""
"8/08/2011","Casas de cambio","4.180",""
"8/08/2011","Informal","4.305",""
"9/08/2011","Casas de cambio","4.180",""
"9/08/2011","Informal","4.340",""
"10/08/2011","Casas de cambio","4.185",""
"10/08/2011","Informal","4.353",""
"11/08/2011","Casas de cambio","4.190",""
"11/08/2011","Informal","4.345",""
"12/08/2011","Casas de cambio","4.190",""
"12/08/2011","Informal","4.350",""
"15/08/2011","Informal","4.335",""
"15/08/2011","Casas de cambio","4.190",""
"16/08/2011","Casas de cambio","4.190",""
"16/08/2011","Informal","4.353",""
"17/08/2011","Casas de cambio","4.190",""
"17/08/2011","Informal","4.360",""
"18/08/2011","Casas de cambio","4.195",""
"18/08/2011","Informal","4.373",""
